"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"21","76.16846504285363","18.54267731236785","0.082763671875","0.0595703125","0.10595703125","1560","0.0005012620801785705","32","0.0005012620801785705","0","0.0005012620801785705","0.0005012620801785705","34:0.002205147644534722;20:0.00795485908029342;22:0.0025281828832352804","34:68;20:68;22:68","34:0.0028081544004220915;20:0.004762883847049287","0.082763671875","Yes"
"22","36.07739565829159","46.26454101343236","0.027099609375","0.0322265625","0.02197265625","1560","0.0006487023675059072","32","0.0006487023675059072","0","0.0006487023675059072","0.0006487023675059072","23:0.0036516009233573954;21:0.0025281828832352804","23:68;21:68","23:0.005493985758789094","0.027099609375","Yes"
"23","45.46335630683414","56.780370121374936","0.030517578125","0.0244140625","0.03662109375","1560","0.00019323667137027925","32","0.00019323667137027925","0","0.00019323667137027925","0.00019323667137027925","22:0.0036516009233573954;24:0.0018484720539357902;16:0.0033996625320768525","22:68;24:68;16:184","22:0.005493985758789094;24:0.002292928109791731;16:0.0032022985416798877","0.030517578125","Yes"
"24","137.4499987021224","145.0824888800587","0.0322265625","0.01806640625","0.04638671875","1560","0.0005258960232406323","32","0.0005258960232406323","0","0.0005258960232406323","0.0005258960232406323","23:0.0018484720539357902;25:0.0016813698754797324","23:68;25:68","23:0.002292928109791731;25:0.003126796415114985","0.0322265625","Yes"
"25","242.79982873331898","239.4320830246528","0.0966796875","0.10302734375","0.09033203125","1560","0.0002565855779269938","32","0.0002565855779269938","0","0.0002565855779269938","0.0002565855779269938","24:0.0016813698754797324;26:0.0043311857516228625;35:0.0033646308565577487","24:68;26:68;35:108","24:0.003126796415114985;26:0.0042850272478902884;35:0.002473221705190737","0.0966796875","Yes"
"26","205.57339510834365","187.06902431363287","0.113037109375","0.17333984375","0.052734375","1560","0.001619821174300961","32","0.001619821174300961","0","0.001619821174300961","0.001619821174300961","25:0.0043311857516228625;27:0.0036100620473273615","25:68;27:68","25:0.0042850272478902884;27:0.005048692755345918","0.113037109375","Yes"
"27","89.20995266109767","116.34159833782118","0.070068359375","0.0498046875","0.09033203125","1560","0.00020979261791760872","32","0.00020979261791760872","0","0.00020979261791760872","0.00020979261791760872","26:0.0036100620473273615;28:0.0020903053890728995;17:0.003527125629994049","26:68;28:80;17:160","26:0.005048692755345918;28:0.0024253460654011516;17:0.004400645258079067","0.070068359375","Yes"
"28","62.16946578864876","81.63264514237068","0.00537109375","0.00927734375","0.00146484375","1560","0.000336192973833717","32","0.000336192973833717","0","0.000336192973833717","0.000336192973833717","27:0.0020903053890728995;29:0.0033370638389140506","27:80;29:116","27:0.0024253460654011516;29:0.0033808847203783687","0.00537109375","Yes"
"29","135.9724174975877","120.68294904821171","0.021484375","0.013671875","0.029296875","1560","0.0003371286996507782","32","0.0003371286996507782","0","0.0003371286996507782","0.0003371286996507782","36:0.00246621172626732;28:0.0033370638389140506;30:0.00248178345314376","36:68;28:116;30:68","36:0.0028671280563927204;28:0.0033808847203783687;30:0.0021507390099607393","0.021484375","Yes"
"30","206.34750655579393","152.46370645179795","0.0146484375","0.0087890625","0.0205078125","1560","0.00020606390039746184","32","0.00020606390039746184","0","0.00020606390039746184","0.00020606390039746184","31:0.0032464011826272843;29:0.00248178345314376","31:68;29:68","31:0.0030350973302768203;29:0.0021507390099607393","0.0146484375","Yes"
